date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:13:55	119850/119850	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2012:13:30%20GMT	https://www.franchisedirect.com/	C:/10Intership/franchising/www.franchisedirect.com/index.html	(from )
05:13:56	493/493	---M-Z	200	added ('OK')	text/plain	date:Sun,%2016%20Oct%202022%2012:13:51%20GMT	https://www.franchisedirect.com/robots.txt		(from )
05:13:56	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/10Intership/franchising/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.franchisedirect.com/)
05:13:57	762078/762078	---M-Z	200	added ('OK')	text/javascript	etag:%22f3d2ce847589e08e3243daffe48d9e83%22	https://d1imm0s6tc8o7m.cloudfront.net/resource/All.min.0f6cf2e4f0fd6ea6416ff0417ac5fc08.gz.js	C:/10Intership/franchising/d1imm0s6tc8o7m.cloudfront.net/resource/All.min.0f6cf2e4f0fd6ea6416ff0417ac5fc08.gz.js	(from https://www.franchisedirect.com/)
05:13:57	36759/36759	---M--	200	added ('OK')	text/css	etag:W/%2236759-1595867728000%22	https://www.franchisedirect.com/assets/font-awesome-4.7.0/css/font-awesome.css	C:/10Intership/franchising/www.franchisedirect.com/assets/font-awesome-4.7.0/css/font-awesome.css	(from https://www.franchisedirect.com/)
05:13:57	526899/526899	---M-Z	200	added ('OK')	text/css	etag:%2217896e58ce9c36005beb2e84cd4ecf6d%22	https://d1imm0s6tc8o7m.cloudfront.net/resource/All.min.2f1bbba77a4d810c47925da5504adf3d.gz.css	C:/10Intership/franchising/d1imm0s6tc8o7m.cloudfront.net/resource/All.min.2f1bbba77a4d810c47925da5504adf3d.gz.css	(from https://www.franchisedirect.com/)
05:13:57	87542/87542	---M-Z	200	added ('OK')	text/javascript	etag:%22efc056c44b06a8ae88b4dfbd1a870dac%22	https://d1imm0s6tc8o7m.cloudfront.net/resource/assets/tel-input-17/js/intlTelInput.6615f9321252892e9f4c7ec96f31e041.gz.js	C:/10Intership/franchising/d1imm0s6tc8o7m.cloudfront.net/resource/assets/tel-input-17/js/intlTelInput.6615f9321252892e9f4c7ec96f31e041.gz.js	(from https://www.franchisedirect.com/)
05:13:57	524377/524377	---M--	200	added ('OK')	text/css	etag:W/%22524377-1654590382000%22	https://www.franchisedirect.com/All.min.css	C:/10Intership/franchising/www.franchisedirect.com/All.min.css	(from https://www.franchisedirect.com/)
05:13:58	25485/25485	---M-Z	200	added ('OK')	text/css	etag:%22a1e40fa95ead8b468df20ebbb64cb4d6%22	https://d1imm0s6tc8o7m.cloudfront.net/resource/assets/tel-input-17/css/intlTelInput.0494d2718e029351404c9a523e25b5b1.gz.css	C:/10Intership/franchising/d1imm0s6tc8o7m.cloudfront.net/resource/assets/tel-input-17/css/intlTelInput.0494d2718e029351404c9a523e25b5b1.gz.css	(from https://www.franchisedirect.com/)
05:13:58	849/849	---MC-	200	added ('OK')	text/javascript	date:Sun,%2016%20Oct%202022%2012:13:53%20GMT	http://www.google.com/recaptcha/api.js?hl=en	C:/10Intership/franchising/www.google.com/recaptcha/apifef7.js	(from https://www.franchisedirect.com/)
05:13:58	883/883	---MC-	200	added ('OK')	text/javascript	date:Sun,%2016%20Oct%202022%2012:13:53%20GMT	http://www.google.com/recaptcha/api.js?render=6LcfPY8UAAAAAL7KwUGEhE73bYJNBVGqIG635DT8&hl=en	C:/10Intership/franchising/www.google.com/recaptcha/apidd79.js	(from https://www.franchisedirect.com/)
05:13:58	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2016%20Oct%202022%2012:13:54%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/10Intership/franchising/www.googletagmanager.com/gtm.95445.delayed	(from https://www.franchisedirect.com/)
05:13:59	104162/104162	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2016%20Oct%202022%2012:13:54%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/10Intership/franchising/connect.facebook.net/en_US/fbevents.js	(from https://www.franchisedirect.com/)
05:13:59	3442/3442	---M--	200	added ('OK')	image/jpeg	date:Sun,%2016%20Oct%202022%2012:13:54%20GMT	https://static.franchisedirect.ie/dims4/default/c081873/2147483647/crop/0x0+0+0/resize/96x96%3E/quality/95/?url=https%3A%2F%2Fpbs.twimg.com%2Fprofile_images%2F692282919000358912%2F7prL8dp0.jpg	C:/10Intership/franchising/static.franchisedirect.ie/dims4/default/c081873/2147483647/crop/0x0+0+0/resize/96x96_/quality/95/indexfd6f.html	(from https://www.franchisedirect.com/)
05:13:59	4518/4518	---M--	200	added ('OK')	image/png	etag:W/%224518-1595867728000%22	https://www.franchisedirect.com/images/touch-icons/touch-icon-iphone.png	C:/10Intership/franchising/www.franchisedirect.com/images/touch-icons/touch-icon-iphone.png	(from https://www.franchisedirect.com/)
05:14:00	4032/4032	---M--	200	added ('OK')	image/png	etag:W/%224032-1595867728000%22	https://www.franchisedirect.com/images/touch-icons/apple-touch-icon-76.png	C:/10Intership/franchising/www.franchisedirect.com/images/touch-icons/apple-touch-icon-76.png	(from https://www.franchisedirect.com/)
05:14:00	4032/4032	---M--	200	added ('OK')	image/png	etag:W/%224032-1595867728000%22	https://www.franchisedirect.com/images/touch-icons/apple-touch-icon-120.png	C:/10Intership/franchising/www.franchisedirect.com/images/touch-icons/apple-touch-icon-120.png	(from https://www.franchisedirect.com/)
05:14:00	4032/4032	---M--	200	added ('OK')	image/png	etag:W/%224032-1595867728000%22	https://www.franchisedirect.com/images/touch-icons/apple-touch-icon-152.png	C:/10Intership/franchising/www.franchisedirect.com/images/touch-icons/apple-touch-icon-152.png	(from https://www.franchisedirect.com/)
05:14:01	4032/4032	---M--	200	added ('OK')	image/png	etag:W/%224032-1595867728000%22	https://www.franchisedirect.com/images/touch-icons/apple-touch-icon-180.png	C:/10Intership/franchising/www.franchisedirect.com/images/touch-icons/apple-touch-icon-180.png	(from https://www.franchisedirect.com/)
05:14:01	8833/8833	---M--	200	added ('OK')	image/png	etag:W/%228833-1595867728000%22	https://www.franchisedirect.com/images/touch-icons/android-icon-192.png	C:/10Intership/franchising/www.franchisedirect.com/images/touch-icons/android-icon-192.png	(from https://www.franchisedirect.com/)
05:14:02	5998/5998	---M-Z	200	added ('OK')	application/javascript	etag:%22176e-5ead9d5b4caa2-gzip%22	https://api.cartstack.com/js/customer-tracking/www.franchisedirect.com_474e975c9cd15a34039ecf32610640de.js	C:/10Intership/franchising/api.cartstack.com/js/customer-tracking/www.franchisedirect.com_474e975c9cd15a34039ecf32610640de.js	(from https://www.franchisedirect.com/)
05:14:03	46000/46000	---M--	200	added ('OK')	text/javascript	etag:13607120772281201502	http://www.googleadservices.com/pagead/conversion.js	C:/10Intership/franchising/www.googleadservices.com/pagead/f.txt	(from https://www.franchisedirect.com/)
05:14:04	4036/4036	---M--	200	added ('OK')	image/png	etag:331e728546df2b6286916bc3524ab4cd	https://static.franchisedirect.ie/dims4/default/664fbf1/2147483647/resize/x36/quality/95/?url=https%3A%2F%2Fd1imm0s6tc8o7m.cloudfront.net%2Fc0%2Fac%2F735f2e8c4e199dcac226131a9034%2Flogo.png	C:/10Intership/franchising/static.franchisedirect.ie/dims4/default/664fbf1/2147483647/resize/x36/quality/95/index0ac6.html	(from https://www.franchisedirect.com/)
05:14:05	214196/214196	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2012:14:00%20GMT	https://www.franchisedirect.com/accountingfinancialfranchises/38	C:/10Intership/franchising/www.franchisedirect.com/accountingfinancialfranchises/38.html	(from https://www.franchisedirect.com/)
05:14:07	213299/213299	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2012:14:02%20GMT	https://www.franchisedirect.com/advertisingmarketingfranchises/39	C:/10Intership/franchising/www.franchisedirect.com/advertisingmarketingfranchises/39.html	(from https://www.franchisedirect.com/)
05:14:09	223362/223362	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2012:14:04%20GMT	https://www.franchisedirect.com/automotivefranchises/7	C:/10Intership/franchising/www.franchisedirect.com/automotivefranchises/7.html	(from https://www.franchisedirect.com/)
05:14:11	214999/214999	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2012:14:06%20GMT	https://www.franchisedirect.com/businessopportunities/8	C:/10Intership/franchising/www.franchisedirect.com/businessopportunities/8.html	(from https://www.franchisedirect.com/)
05:14:12	235008/235008	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2012:14:07%20GMT	https://www.franchisedirect.com/industries/	C:/10Intership/franchising/www.franchisedirect.com/industries/index.html	(from https://www.franchisedirect.com/)
05:14:13	215969/215969	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2012:14:08%20GMT	https://www.franchisedirect.com/businessservicesfranchise/351	C:/10Intership/franchising/www.franchisedirect.com/businessservicesfranchise/351.html	(from https://www.franchisedirect.com/)
05:14:15	224100/224100	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2012:14:10%20GMT	https://www.franchisedirect.com/childrensfranchises/10	C:/10Intership/franchising/www.franchisedirect.com/childrensfranchises/10.html	(from https://www.franchisedirect.com/)
05:14:17	228676/228676	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2012:14:12%20GMT	https://www.franchisedirect.com/cleaningfranchises/11	C:/10Intership/franchising/www.franchisedirect.com/cleaningfranchises/11.html	(from https://www.franchisedirect.com/)
